Date,HomeTeam,AwayTeam,Home_Spec_Goals_Pro,Away_Spec_Goals_Pro,Home_Gen_Goals_Pro,Away_Gen_Goals_Pro,Home_Spec_HT_Goals_Pro,Away_Spec_HT_Goals_Pro,Home_Gen_HT_Goals_Pro,Away_Gen_HT_Goals_Pro,Home_Spec_HT_Goals_Against,Away_Spec_HT_Goals_Against,Home_Gen_HT_Goals_Against,Away_Gen_HT_Goals_Against,Home_Spec_Goals_Suffered,Away_Spec_Goals_Suffered,Home_Gen_Goals_Suffered,Away_Gen_Goals_Suffered,Home_Spec_Corners_Pro,Away_Spec_Corners_Pro,Home_Gen_Corners_Pro,Away_Gen_Corners_Pro,Home_Spec_Corners_Against,Away_Spec_Corners_Against,Home_Gen_Corners_Against,Away_Gen_Corners_Against,Home_Spec_Fouls_Pro,Away_Spec_Fouls_Pro,Home_Gen_Fouls_Pro,Away_Gen_Fouls_Pro,Home_Spec_Fouls_Against,Away_Spec_Fouls_Against,Home_Gen_Fouls_Against,Away_Gen_Fouls_Against,Home_Spec_Offsides_Pro,Away_Spec_Offsides_Pro,Home_Gen_Offsides_Pro,Away_Gen_Offsides_Pro,Home_Spec_Offsides_Against,Away_Spec_Offsides_Against,Home_Gen_Offsides_Against,Away_Gen_Offsides_Against,Home_Spec_Yellows_Pro,Away_Spec_Yellows_Pro,Home_Gen_Yellows_Pro,Away_Gen_Yellows_Pro,Home_Spec_Yellows_Against,Away_Spec_Yellows_Against,Home_Gen_Yellows_Against,Away_Gen_Yellows_Against,Home_Spec_Reds_Pro,Away_Spec_Reds_Pro,Home_Gen_Reds_Pro,Away_Gen_Reds_Pro,Home_Spec_Reds_Against,Away_Spec_Reds_Against,Home_Gen_Reds_Against,Away_Gen_Reds_Against,Home_Spec_Points,Away_Spec_Points,Target
2000-08-25,Gillingham,Portsmouth,1.0,0.0,1.5,0.5,1.0,0.0,1.0,0.0,2.0,1.0,2.5,0.5,3.0,2.0,3.0,1.5,12.0,5.0,7.5,6.5,4.0,5.0,6.0,2.5,9.0,8.0,15.5,10.0,13.0,13.0,14.5,13.0,5.0,3.0,7.0,3.0,1.0,1.0,3.5,1.5,0.0,1.0,1.0,1.5,3.0,1.0,3.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,1.0
2000-08-26,Sheffield United,Tranmere,2.0,0.0,1.0,1.5,1.0,0.0,0.5,1.5,0.0,0.0,1.0,0.5,0.0,0.0,1.5,1.0,5.0,3.0,7.0,5.5,5.0,8.0,4.0,5.5,13.0,17.0,19.0,16.5,8.0,20.0,11.5,21.0,1.0,5.0,2.0,5.5,3.0,2.0,3.0,5.5,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.5,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2000-08-26,Wolves,Burnley,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,11.0,5.0,7.5,6.5,3.0,3.0,5.0,4.0,12.0,14.0,10.0,12.0,14.0,14.0,14.5,13.0,5.0,5.0,4.5,3.0,1.0,0.0,1.5,1.0,1.0,1.0,0.5,0.5,5.0,2.0,3.5,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0
2000-08-26,Wimbledon,Watford,0.0,2.0,0.0,1.5,0.0,1.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,8.0,6.0,6.5,8.5,3.0,7.0,5.5,8.0,20.0,17.0,16.0,13.0,17.0,17.0,13.5,12.5,2.0,4.0,2.0,4.0,5.0,2.0,3.0,1.5,1.0,2.0,1.0,1.5,3.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,-0.5,1.0,1.0
2000-08-26,QPR,Crewe,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,0.5,1.0,2.0,1.0,1.5,0.5,6.0,10.0,7.0,7.0,19.0,9.0,17.5,7.5,17.0,4.0,16.0,8.0,1.0,2.0,2.0,1.5,5.0,1.0,3.5,0.5,1.0,1.0,1.0,1.5,3.0,0.0,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0
2000-08-26,Blackburn,Norwich,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,7.0,3.0,5.5,4.0,4.0,1.0,2.0,2.0,14.0,13.0,13.0,14.5,17.0,8.0,11.5,12.5,4.0,14.0,2.0,9.5,3.0,2.0,2.0,4.5,1.0,0.0,1.0,0.5,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,-0.5,0.0
2000-08-26,Huddersfield,Crystal Palace,1.0,0.0,2.0,0.5,1.0,0.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.5,7.0,4.0,5.5,6.0,6.0,7.0,7.0,4.0,17.0,17.0,17.5,16.0,17.0,14.0,15.0,15.0,2.0,3.0,3.0,2.5,4.0,4.0,4.0,3.5,0.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,2.0
2000-08-26,Grimsby,Sheffield Weds,1.0,1.0,1.0,1.5,0.0,0.0,0.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,1.5,2.0,9.0,3.0,4.5,5.5,5.0,11.0,6.5,7.5,13.0,14.0,13.0,13.5,8.0,12.0,10.0,15.0,2.0,1.0,2.0,2.5,4.0,5.0,3.5,4.5,0.0,5.0,0.5,3.5,1.0,1.0,1.5,1.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.5,-0.5,2.0
2000-08-26,Fulham,Stockport,2.0,3.0,2.5,2.0,0.0,2.0,1.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.5,1.0,10.0,4.0,9.5,5.5,1.0,12.0,1.5,8.0,4.0,13.0,5.5,14.0,9.0,9.0,11.5,8.5,1.0,1.0,1.5,1.5,2.0,5.0,3.5,4.5,0.0,3.0,1.0,2.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
2000-08-26,Bolton,Preston,1.0,2.0,1.5,2.5,1.0,1.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,3.0,5.0,2.5,4.0,5.0,9.0,7.5,9.0,14.0,8.0,13.5,11.5,14.0,13.0,13.5,19.0,0.0,4.0,1.0,3.5,5.0,2.0,6.0,2.5,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0
